Korean,French
내가,je
그,que
난,Je suis
내,mon
안,pas
수,nombre
이,ce
네,Oui
거야,va être
좀,un peu
그래,d'accord
있어,il y a
왜,pourquoi
더,plus
그리고,et
우리,nous
다,tous
무슨,quoi
한,un
하지만,mais
잘,Bien
어떻게,comment
할,ça ira
그냥,juste
정말,vraiment
그럼,alors
것,chose
게,crabe
있어요,il y a
있는,il y a
해,soleil
여기,ici
넌,toi
제가,Je suis
날,moi
우리가,nous
건,cas
전,faire un gardien
이제,maintenant
지금,maintenant
그게,c'est
걸,fille
거,chose
아니,Non
네가,toi
없어,n'existe pas
돼,Être
저,je
우린,nous
제,mon
못,étang
좋아,bien
당신이,toi
다른,différent
나,moi
그런,que
그건,que
너무,aussi
그래서,donc
그렇게,comme ça
다시,encore
이건,Ce
이런,ce
나도,moi aussi
모든,chaque
당신,toi
거예요,Volonté
당신은,tu es
아,ah
좋은,bien
오,Oh
때,à l'époque
너,toi
하는,faire
하고,faire
아냐,Non
나는,Je suis
아니야,Non
알아,savoir
같이,ensemble
응,hein
이게,ce
없어요,Non
괜찮아,êtes-vous d'accord
오늘,aujourd'hui
말이야,Mot
줄,doubler
또,aussi
널,toi
누가,OMS
어떤,lequel
아주,très
말,mot
아직,encore
안돼,Non
진짜,vraiment
모두,chaque
마,esprit
같은,même
여기서,ici
어서,dépêchez-vous
그는,il est
위해,pour
해요,faire
일이,Jours
하지,solstice d'été
엄마,maman
바로,dès que
가,aller
근데,cependant
알고,savoir
이렇게,comme ça
빨리,dépêchez-vous
있습니다,il y a
이거,ce
전에,avant
어,euh
아뇨,Non
계속,continuer
닥터,médecin
얼마나,combien
될,Être
알았어,d'accord
않아,Pas
제발,s'il te plaît
있지,En place
겁니다,C'est
어디,où
사람이,Personnes
그가,il
안녕,Salut
좋아요,super
같아,même
우리는,nous sommes
그래요,est-ce ainsi
당신을,toi
자,règle
그걸,Que
두,deux
아니에요,Non
있을,Inquisition
때문에,parce que
대해,à propos
아빠,papa
몇,quelques
사람,personne
했어,je l'ai fait
뭐야,quoi
수도,capital
많이,beaucoup
집에,à la maison
거지,les pauvres
일을,travail
저는,Je suis
음,Hmm
그렇지,Oui
함께,ensemble
만약,si
하나,un
저기,excusez-moi
고마워요,merci
항상,toujours
나한테,Tome
잠깐,pour un moment
가서,Aller
가장,la plupart
돼요,peut
거죠,C'est
가자,allons-y
맞아,c'est exact
보고,rapport
와,et
그거,que
말을,Mots
괜찮아요,êtes-vous d'accord
아무도,personne
없는,N'ai pas
안녕하세요,Bonjour
몰라,Je ne sais pas
일,Jour
많은,beaucoup
당신의,ton
아무것도,rien
그러니까,donc
큰,grand
알아요,je sais
그의,Son
뭐가,quoi
고마워,merci
그만,arrêt
했어요,je l'ai fait
젠장,merde
사람들이,Personnes
거에요,C'est
이걸,Ce
그럴,Donc
것도,Aussi
말이,Mots
이미,déjà
야,Hé
그를,Lui
뭔가,Quelque chose
온,sur
이봐,Hé
아니면,ou non
같아요,même
그런데,cependant
아니라,pas
세상에,oh mon Dieu
있다고,Y a-t-il
있고,Et
뭐라고,quoi
예,Oui
절대,jamais
말야,Toi
당장,tout de suite
그래도,toujours
대한,À propos
말은,Les mots
거기,là
전부,entier
둘,deux
그녀는,elle est
니가,toi
갈,conflit
않아요,Non
자기,soi
있죠,Est-ce
하면,si
가지고,avoir
그들이,ils
참,vraiment
너도,toi aussi
됐어,C'est bon
미안해,Désolé
것을,Chose
여긴,Ici
아무,n'importe lequel
사람은,personnes
감사합니다,merci
다들,tout le monde
어때,comment
씨,Graine
곧,bientôt
엄마가,Maman
나를,moi
이젠,maintenant
아마,peut être
그들은,ils
얘기,parler
꼭,s'il te plaît
있잖아,Hé
저도,moi aussi
지금은,maintenant
그녀가,Elle
중,milieu
있다,il y a
시간,heure
먼저,d'abord
우릴,coréen
말고,pas
사람을,Personnes
수가,accusation médicale
봐요,voir
있는데,il y a
알았어요,d'accord
해야,Soleil
있었어,Il y avait
우리의,Notre
않을,Ne pas
방금,tout à l' heure
완전,très
된,된
동안,pendant
시간이,Cette fois
싶어,vouloir
본,copie
일은,Travail
친구,ami
들어,écouter
안에,dans
번,ème
자네,toi
합니다,faire
사실,en fait
한번,une fois
대체,comment
같은데,Comme
생각해,pense
맞아요,c'est exact
볼,joue
혼자,seul
자네가,Toi
절,je
그러니,donc
선생님,professeur
사람들은,Personnes
문제가,Le problème
다음,suivant
물론,bien sûr
거의,presque
